op_id	desc	proc	level
0	Operation <0>		
1	main <1>	CPU Processor 0x1d00000000000002	2
3	Fence Operation <3>		
4	__dummy <4>	CPU Processor 0x1d00000000000001	2
5	Fence Operation <5>		
6	__dummy <6>	CPU Processor 0x1d00000000000002	3
7	Mapping Operation <7>		
8	Fill Operation <8>		
9	Color Rects <2,2> <9>	CPU Processor 0x1d00000000000001	2
10	Dependent Partition Operation <10>		
11	Dependent Partition Operation <11>		
12	Deletion Operation <12>		
13	Deletion Operation <13>		
14	Deletion Operation <14>		
15	Color Rects <2,2> <15>	CPU Processor 0x1d00000000000001	2
16	Dependent Partition Operation <16>		
17	Dependent Partition Operation <17>		
18	Deletion Operation <18>		
19	Deletion Operation <19>		
20	Deletion Operation <20>		
21	Pending Partition Operation <21>		
22	Mapping Operation <22>		
23	eval_samples <23>		
24	eval_samples <24>		
25	eval_samples <25>		
26	calc_mean <26>	CPU Processor 0x1d00000000000002	3
27	Advance Operation <27>		
28	Open Operation <28>		
29	Open Operation <29>		
30	Open Operation <30>		
31	Advance Operation <31>		
32	Open Operation <32>		
33	Open Operation <33>		
34	Advance Operation <34>		
35	Open Operation <35>		
36	Inter Close Operation <36>		
37	eval_samples <37>		
38	eval_samples <38>		
39	eval_samples <39>		
40	eval_samples <40>		
41	eval_samples <41>		
42	eval_samples <42>		
43	eval_samples <43>	CPU Processor 0x1d00000000000002	3
44	eval_samples <44>	CPU Processor 0x1d00000000000001	2
45	eval_samples <45>	CPU Processor 0x1d00000000000002	3
46	eval_samples <46>	CPU Processor 0x1d00000000000001	2
47	eval_samples <47>	CPU Processor 0x1d00000000000002	3
48	eval_samples <48>	CPU Processor 0x1d00000000000001	2
49	eval_samples <49>	CPU Processor 0x1d00000000000002	3
50	eval_samples <50>	CPU Processor 0x1d00000000000001	2
51	eval_samples <51>	CPU Processor 0x1d00000000000002	3
52	eval_samples <52>	CPU Processor 0x1d00000000000001	2
53	eval_samples <53>	CPU Processor 0x1d00000000000002	3
54	eval_samples <54>	CPU Processor 0x1d00000000000001	2
55	eval_samples <55>	CPU Processor 0x1d00000000000002	3
56	eval_samples <56>	CPU Processor 0x1d00000000000001	2
57	eval_samples <57>	CPU Processor 0x1d00000000000002	3
58	eval_samples <58>	CPU Processor 0x1d00000000000001	2
59	eval_samples <59>	CPU Processor 0x1d00000000000002	3
60	eval_samples <60>	CPU Processor 0x1d00000000000001	2
61	eval_samples <61>	CPU Processor 0x1d00000000000002	3
62	eval_samples <62>	CPU Processor 0x1d00000000000001	2
63	eval_samples <63>	CPU Processor 0x1d00000000000002	3
64	eval_samples <64>	CPU Processor 0x1d00000000000001	2
65	eval_samples <65>	CPU Processor 0x1d00000000000002	3
66	eval_samples <66>	CPU Processor 0x1d00000000000001	2
67	calc_var <67>	CPU Processor 0x1d00000000000002	3
68	calc_mean <68>	CPU Processor 0x1d00000000000002	3
69	Inter Close Operation <69>		
70	calc_var <70>	CPU Processor 0x1d00000000000001	2
71	calc_mean <71>	CPU Processor 0x1d00000000000001	2
72	Inter Close Operation <72>		
73	calc_var <73>	CPU Processor 0x1d00000000000001	2
74	Fence Operation <74>		
75	__dummy <75>	CPU Processor 0x1d00000000000002	3
76	Fence Operation <76>		
77	__dummy <77>	CPU Processor 0x1d00000000000001	2
78	Fence Operation <78>		
79	__dummy <79>	CPU Processor 0x1d00000000000001	2
80	Deletion Operation <80>		
